Network model CRVOS loaded

-- DAVIS16 dataset initialization started.
blackswan fps:64.32977648479971, frames:50, time:0.777245044708252
bmx-trees fps:63.95753551842887, frames:80, time:1.2508299350738525
breakdance fps:63.11420375093645, frames:84, time:1.330920696258545
camel fps:62.95900906039664, frames:90, time:1.4295015335083008
car-roundabout fps:63.810627112287, frames:75, time:1.1753528118133545
car-shadow fps:64.53192360121731, frames:40, time:0.6198482513427734
cows fps:63.419018656526006, frames:104, time:1.6398866176605225
dance-twirl fps:63.488528037725054, frames:90, time:1.417578935623169
dog fps:63.809698401602276, frames:60, time:0.940295934677124
drift-chicane fps:64.04280956567342, frames:52, time:0.8119568824768066
drift-straight fps:63.98892769714225, frames:50, time:0.7813851833343506
goat fps:63.23382759552983, frames:90, time:1.4232888221740723
horsejump-high fps:63.818407339467406, frames:50, time:0.783473014831543
kite-surf fps:63.77152170872181, frames:50, time:0.7840490341186523
libby fps:63.77473145189593, frames:49, time:0.768329381942749
motocross-jump fps:64.04360879581472, frames:40, time:0.6245744228363037
paragliding-launch fps:63.15522086350298, frames:80, time:1.2667202949523926
parkour fps:62.900753284654016, frames:100, time:1.589806079864502
scooter-black fps:63.631763970369285, frames:43, time:0.6757631301879883
soapbox fps:62.681508252876164, frames:99, time:1.5794131755828857

Total fps:63.49728114801334



-- DAVIS17 dataset initialization started.
bike-packing fps:52.46499324171457, frames:69, time:1.3151626586914062
blackswan fps:63.209266885928955, frames:50, time:0.7910232543945312
bmx-trees fps:55.420694872156965, frames:80, time:1.4435040950775146
breakdance fps:62.48340220925535, frames:84, time:1.3443570137023926
camel fps:62.42154424000176, frames:90, time:1.441809892654419
car-roundabout fps:62.50308966014931, frames:75, time:1.1999406814575195
car-shadow fps:63.390000853904496, frames:40, time:0.631014347076416
cows fps:62.2312903508374, frames:104, time:1.67118501663208
dance-twirl fps:62.28649413637586, frames:90, time:1.4449360370635986
dog fps:62.614386630493414, frames:60, time:0.9582462310791016
dogs-jump fps:49.50760737727992, frames:66, time:1.3331284523010254
drift-chicane fps:62.781011507924056, frames:52, time:0.8282759189605713
drift-straight fps:62.64677011646018, frames:50, time:0.7981257438659668
goat fps:62.007218703251766, frames:90, time:1.4514439105987549
gold-fish fps:40.08742398042606, frames:78, time:1.9457473754882812
horsejump-high fps:54.903981284256865, frames:50, time:0.9106807708740234
india fps:48.937353912245726, frames:81, time:1.655177354812622
judo fps:55.54311469299382, frames:34, time:0.6121370792388916
kite-surf fps:49.69456761869375, frames:50, time:1.0061461925506592
lab-coat fps:41.115061394483725, frames:47, time:1.1431334018707275
libby fps:62.43926340705076, frames:49, time:0.7847626209259033
loading fps:49.36682281490549, frames:50, time:1.0128259658813477
mbike-trick fps:54.328242585142114, frames:79, time:1.4541239738464355
motocross-jump fps:55.144675256376544, frames:40, time:0.7253646850585938
paragliding-launch fps:49.29161223392839, frames:80, time:1.6229941844940186
parkour fps:61.58196627802169, frames:100, time:1.623852014541626
pigs fps:48.60414591070978, frames:79, time:1.625375747680664
scooter-black fps:55.2972652615087, frames:43, time:0.7776153087615967
shooting fps:18.536103117609326, frames:40, time:2.1579508781433105
soapbox fps:48.53503967324451, frames:99, time:2.0397634506225586

Total fps:52.95391696125198


